,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
810,2020/2021,Tottenham,Aston Villa,1-2,0-0,1-2,"10,000",17:00,1,2,0,0,1,2,3,0,3,Away
811,2020/2021,Newcastle,Sheffield Utd,1-0,0-0,1-0,"10,000",17:00,1,0,0,0,1,0,1,0,1,Home
812,2020/2021,Chelsea,Leicester City,0-0,2-1,2-1,"8,000",19:15,0,0,2,1,2,1,0,3,3,Home
813,2020/2021,Brighton,Man City,0-1,3-1,3-2,"7,945",18:00,0,1,3,1,3,2,1,4,5,Home
814,2020/2021,Southampton,Leeds Utd,0-0,0-2,0-2,"8,000",17:00,0,0,0,2,0,2,0,2,2,Away
815,2020/2021,Man Utd,Fulham,1-0,0-1,1-1,"10,000",17:00,1,0,0,1,1,1,1,1,2,Draw
816,2020/2021,Everton,Sheffield Utd,0-1,0-0,0-1,Unknown,18:00,0,1,0,0,0,1,1,0,1,Away
817,2020/2021,West Brom,Liverpool,1-1,0-1,1-2,Unknown,15:30,1,1,0,1,1,2,2,1,3,Away
818,2020/2021,Tottenham,Wolves,1-0,1-0,2-0,Unknown,13:05,1,0,1,0,2,0,1,1,2,Home
819,2020/2021,Crystal Palace,Aston Villa,1-2,2-0,3-2,Unknown,11:00,1,2,2,0,3,2,3,2,5,Home
820,2020/2021,Brighton,West Ham,0-0,1-1,1-1,Unknown,19:00,0,0,1,1,1,1,0,2,2,Draw
821,2020/2021,Southampton,Fulham,1-0,2-1,3-1,Unknown,14:00,1,0,2,1,3,1,1,3,4,Home
822,2020/2021,Burnley,Leeds Utd,0-1,0-3,0-4,Unknown,11:30,0,1,0,3,0,4,1,3,4,Away
823,2020/2021,Newcastle,Man City,2-2,1-2,3-4,Unknown,19:00,2,2,1,2,3,4,4,3,7,Away
824,2020/2021,Chelsea,Arsenal,0-1,0-0,0-1,Unknown,19:15,0,1,0,0,0,1,1,0,1,Away
825,2020/2021,Man Utd,Leicester City,1-1,0-1,1-2,Unknown,17:00,1,1,0,1,1,2,2,1,3,Away
826,2020/2021,Fulham,Burnley,0-2,0-0,0-2,Unknown,19:00,0,2,0,0,0,2,2,0,2,Away
827,2020/2021,Arsenal,West Brom,2-0,1-1,3-1,Unknown,18:00,2,0,1,1,3,1,2,2,4,Home
828,2020/2021,West Ham,Everton,0-1,0-0,0-1,Unknown,15:30,0,1,0,0,0,1,1,0,1,Away
829,2020/2021,Aston Villa,Man Utd,1-0,0-3,1-3,Unknown,13:05,1,0,0,3,1,3,1,3,4,Away
830,2020/2021,Wolves,Brighton,0-1,2-0,2-1,Unknown,11:00,0,1,2,0,2,1,1,2,3,Home
831,2020/2021,Liverpool,Southampton,1-0,1-0,2-0,Unknown,19:15,1,0,1,0,2,0,1,1,2,Home
832,2020/2021,Man City,Chelsea,1-0,0-2,1-2,Unknown,16:30,1,0,0,2,1,2,1,2,3,Away
833,2020/2021,Sheffield Utd,Crystal Palace,0-1,0-1,0-2,Unknown,14:00,0,1,0,1,0,2,1,1,2,Away
834,2020/2021,Leeds Utd,Tottenham,2-1,1-0,3-1,Unknown,11:30,2,1,1,0,3,1,3,1,4,Home
835,2020/2021,Leicester City,Newcastle,0-2,2-2,2-4,Unknown,19:00,0,2,2,2,2,4,2,4,6,Away
836,2020/2021,Man Utd,Liverpool,1-2,1-2,2-4,Unknown,19:15,1,2,1,2,2,4,3,3,6,Away
837,2020/2021,Burnley,West Ham,1-2,0-0,1-2,Unknown,19:15,1,2,0,0,1,2,3,0,3,Away
838,2020/2021,West Brom,Wolves,0-1,1-0,1-1,Unknown,17:00,0,1,1,0,1,1,1,1,2,Draw
839,2020/2021,Tottenham,Sheffield Utd,1-0,3-0,4-0,Unknown,18:15,1,0,3,0,4,0,1,3,4,Home
840,2020/2021,Newcastle,Arsenal,0-1,0-1,0-2,Unknown,13:00,0,1,0,1,0,2,1,1,2,Away
841,2020/2021,Everton,Aston Villa,1-1,0-1,1-2,Unknown,19:00,1,1,0,1,1,2,2,1,3,Away
