,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
862,2020/2021,Galatasaray,Sivasspor,1-2,1-0,2-2,Unknown,16:00,1,2,1,0,2,2,3,1,4,Draw
863,Gençlerbirliği - Başakşehir,Gençlerbirliği,Başakşehir,0-0,0-1,0-1,Unknown,13:00,0,0,0,1,0,1,0,1,1,Away
864,2020/2021,Karagümrük,Ankaragücü,0-0,0-1,0-1,Unknown,10:30,0,0,0,1,0,1,0,1,1,Away
865,2020/2021,Beşiktaş,Gaziantep,1-0,1-1,2-1,Unknown,16:00,1,0,1,1,2,1,1,2,3,Home
866,2020/2021,Denizlispor,Malatyaspor,2-1,1-1,3-2,Unknown,13:00,2,1,1,1,3,2,3,2,5,Home
867,2020/2021,Fenerbahçe,Antalyaspor,0-1,1-0,1-1,Unknown,16:00,0,1,1,0,1,1,1,1,2,Draw
868,2020/2021,Alanyaspor,Göztepe,0-1,1-0,1-1,Unknown,13:00,0,1,1,0,1,1,1,1,2,Draw
869,2020/2021,Kasımpaşa,Trabzonspor,1-1,0-1,1-2,Unknown,13:00,1,1,0,1,1,2,2,1,3,Away
870,Ankaragücü - Galatasaray,Ankaragücü,Galatasaray,1-0,1-1,2-1,Unknown,16:00,1,0,1,1,2,1,1,2,3,Home
871,2020/2021,Kayserispor,Rizespor,0-0,2-1,2-1,Unknown,16:00,0,0,2,1,2,1,0,3,3,Home
872,2020/2021,Başakşehir,Konyaspor,0-0,1-1,1-1,Unknown,13:00,0,0,1,1,1,1,0,2,2,Draw
873,Sivasspor - Hatayspor,Sivasspor,Hatayspor,0-0,1-1,1-1,Unknown,13:00,0,0,1,1,1,1,0,2,2,Draw
874,2020/2021,Erzurumspor,Karagümrük,1-1,1-1,2-2,Unknown,10:30,1,1,1,1,2,2,2,2,4,Draw
875,2020/2021,Malatyaspor,Beşiktaş,0-0,0-1,0-1,Unknown,16:00,0,0,0,1,0,1,0,1,1,Away
876,Göztepe - Kasımpaşa,Göztepe,Kasımpaşa,1-0,0-0,1-0,Unknown,13:00,1,0,0,0,1,0,1,0,1,Home
877,2020/2021,Gaziantep,Gençlerbirliği,0-1,2-0,2-1,Unknown,13:00,0,1,2,0,2,1,1,2,3,Home
878,2020/2021,Trabzonspor,Fenerbahçe,0-0,0-1,0-1,Unknown,16:00,0,0,0,1,0,1,0,1,1,Away
879,2020/2021,Galatasaray,Erzurumspor,2-0,0-0,2-0,Unknown,16:00,2,0,0,0,2,0,2,0,2,Home
880,2020/2021,Rizespor,Sivasspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
