,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
918,2020/2021,Strasbourg,Angers,0-0,0-0,0-0,Unknown,14:00,0,0,0,0,0,0,0,0,0,Draw
919,2020/2021,Nimes,Bordeaux,1-0,1-0,2-0,Unknown,14:00,1,0,1,0,2,0,1,1,2,Home
920,2020/2021,Lens,Dijon,1-0,1-1,2-1,Unknown,14:00,1,0,1,1,2,1,1,2,3,Home
921,2020/2021,Nice,Metz,0-2,1-0,1-2,Unknown,14:00,0,2,1,0,1,2,2,1,3,Away
922,2020/2021,Montpellier,Rennais,2-0,0-1,2-1,Unknown,12:00,2,0,0,1,2,1,2,1,3,Home
923,2020/2021,Nantes,Marseille,0-0,1-1,1-1,Unknown,16:00,0,0,1,1,1,1,0,2,2,Draw
924,2020/2021,Saint-Étienne,Reims,0-0,1-1,1-1,Unknown,12:00,0,0,1,1,1,1,0,2,2,Draw
925,2020/2021,Brest,Lyon,0-3,2-0,2-3,Unknown,20:00,0,3,2,0,2,3,3,2,5,Away
926,2020/2021,Bordeaux,Marseille,0-0,0-0,0-0,Unknown,20:00,0,0,0,0,0,0,0,0,0,Draw
927,2020/2021,Dijon,Nimes,0-0,0-2,0-2,Unknown,14:00,0,0,0,2,0,2,0,2,2,Away
928,2020/2021,Lille,Brest,0-0,0-0,0-0,Unknown,16:00,0,0,0,0,0,0,0,0,0,Draw
929,2020/2021,Angers,Nantes,1-2,0-1,1-3,Unknown,14:00,1,2,0,1,1,3,3,1,4,Away
930,2020/2021,Rennais,Saint-Étienne,0-1,0-1,0-2,Unknown,14:00,0,1,0,1,0,2,1,1,2,Away
931,2020/2021,Metz,Strasbourg,1-1,0-1,1-2,Unknown,14:00,1,1,0,1,1,2,2,1,3,Away
932,2020/2021,Monaco,Lorient,0-1,2-1,2-2,Unknown,12:00,0,1,2,1,2,2,1,3,4,Draw
933,2020/2021,Lyon,Montpellier,1-1,0-1,1-2,Unknown,20:00,1,1,0,1,1,2,2,1,3,Away
934,2020/2021,Marseille,PSG,0-2,0-0,0-2,Unknown,20:00,0,2,0,0,0,2,2,0,2,Away
935,2020/2021,Reims,Lens,1-0,0-1,1-1,Unknown,18:00,1,0,0,1,1,1,1,1,2,Draw
936,2020/2021,PSG,Nice,1-0,1-1,2-1,Unknown,16:00,1,0,1,1,2,1,1,2,3,Home
937,2020/2021,Nantes,Lille,0-1,0-1,0-2,"25,977",16:00,0,1,0,1,0,2,1,1,2,Away
938,2020/2021,Nice,Angers,2-0,1-0,3-0,Unknown,14:00,2,0,1,0,3,0,2,1,3,Home
939,2020/2021,Saint-Étienne,Metz,1-0,0-0,1-0,Unknown,14:00,1,0,0,0,1,0,1,0,1,Home
940,2020/2021,Montpellier,Dijon,0-1,4-1,4-2,Unknown,14:00,0,1,4,1,4,2,1,5,6,Home
